		1996	1996	1996	1996	1996	1996	1998	1998	1998	1998	1998	1998	2000	2000	2000	2000	2000	2000	2002	2002	2002	2002	2002	2002	2003	2003	2003	2003	2003	2003	2004	2004	2004	2004	2004	2004	2005	2005	2005	2005	2005	2005	2006	2006	2006	2006	2006	2006	2007	2007	2007	2007	2007	2007	2008	2008	2008	2008	2008	2008	2009	2009	2009	2009	2009	2009	2010	2010	2010	2010	2010	2010	2011	2011	2011	2011	2011	2011	2012	2012	2012	2012	2012	2012	2013	2013	2013	2013	2013	2013	2014	2014	2014	2014	2014	2014	2015	2015	2015	2015	2015	2015	2016	2016	2016	2016	2016	2016	2017	2017	2017	2017	2017	2017	2018	2018	2018	2018	2018	2018	2019	2019	2019	2019	2019	2019
Country/Territory	Code	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper
Costa Rica	CRI	0.70	0.24	5.00	75.27	63.44	81.18	0.90	0.22	5.00	80.41	71.65	85.05	0.87	0.21	6.00	79.70	72.59	85.28	0.67	0.19	7.00	76.26	68.18	82.32	0.75	0.18	8.00	76.77	71.72	81.82	0.42	0.16	11.00	68.78	59.02	75.12	0.48	0.17	11.00	67.80	60.49	74.63	0.44	0.17	12.00	70.24	60.49	74.15	0.52	0.18	13.00	71.84	62.62	76.70	0.55	0.17	12.00	73.30	63.59	77.18	0.75	0.18	12.00	73.68	70.81	81.34	0.71	0.18	11.00	72.86	69.52	80.48	0.65	0.18	10.00	72.51	67.77	78.67	0.62	0.16	11.00	72.51	67.30	77.25	0.63	0.16	11.00	72.04	67.30	77.25	0.76	0.14	11.00	75.00	69.23	79.81	0.75	0.14	11.00	75.96	68.27	80.29	0.74	0.14	13.00	76.44	67.79	80.77	0.47	0.13	12.00	66.83	63.46	74.52	0.55	0.13	12.00	70.67	64.42	78.37	0.72	0.14	13.00	75.96	68.27	80.77
Cuba	CUB	0.29	0.26	4.00	63.44	52.15	75.81	0.37	0.23	4.00	67.01	54.64	76.80	0.38	0.26	4.00	67.51	57.36	78.17	0.42	0.22	4.00	70.71	59.60	77.78	0.24	0.22	5.00	63.13	55.56	75.25	0.23	0.20	6.00	60.98	53.66	72.20	0.28	0.20	6.00	63.90	55.61	71.22	0.26	0.18	7.00	63.90	56.10	72.20	0.31	0.19	7.00	66.02	57.77	72.82	0.27	0.19	6.00	64.56	56.80	73.30	0.28	0.20	6.00	66.03	57.89	72.25	0.31	0.19	6.00	65.71	56.67	72.38	0.27	0.19	6.00	64.45	56.87	72.04	0.24	0.17	7.00	63.51	56.87	70.14	0.12	0.18	7.00	61.61	54.03	67.30	0.07	0.17	7.00	58.65	51.44	65.38	0.07	0.17	7.00	60.10	52.40	66.35	0.17	0.17	7.00	62.02	53.85	66.83	0.27	0.15	7.00	64.42	57.69	68.75	0.17	0.16	7.00	61.06	53.85	67.31	0.04	0.17	7.00	58.65	47.12	63.94
Cayman Islands	CYM	1.32	0.48	1.00	87.10	72.04	96.77	1.38	0.46	1.00	89.18	74.74	96.91	1.36	0.47	1.00	88.83	73.10	95.43	1.35	0.44	1.00	88.38	74.75	95.45	1.38	0.40	1.00	88.89	76.26	94.95	1.28	0.40	1.00	86.83	73.66	94.15	1.28	0.34	1.00	88.29	73.66	93.17	1.26	0.42	1.00	88.29	72.20	94.63	1.27	0.42	1.00	88.83	72.33	93.69	0.81	0.40	1.00	77.18	61.65	91.75	1.12	0.29	2.00	84.21	72.73	91.39	1.13	0.29	2.00	84.29	72.38	92.38	1.35	0.30	2.00	88.63	77.25	93.84	1.35	0.31	2.00	88.15	76.78	94.31	1.36	0.31	2.00	89.10	77.25	94.79	1.02	0.30	2.00	81.73	69.23	90.87	1.02	0.29	2.00	81.73	68.27	90.38	0.53	0.31	2.00	68.75	58.17	81.25	0.53	0.28	2.00	69.23	58.65	81.25	0.50	0.28	2.00	68.27	58.65	81.25	0.47	0.29	2.00	67.79	57.21	80.77
Cyprus	CYP	1.33	0.26	4.00	87.63	80.65	93.01	1.10	0.23	4.00	83.51	76.80	90.72	1.12	0.26	4.00	84.77	75.63	90.86	1.16	0.22	4.00	84.34	78.28	90.40	1.23	0.24	4.00	85.35	77.27	91.41	0.89	0.21	5.00	80.00	72.20	85.85	0.91	0.20	5.00	79.51	71.22	84.39	1.09	0.21	6.00	83.41	74.15	90.73	1.08	0.22	6.00	83.50	74.27	91.26	1.20	0.21	6.00	84.95	77.18	91.75	0.91	0.19	7.00	78.47	72.25	85.17	0.97	0.19	7.00	80.00	72.38	86.19	0.87	0.19	7.00	77.73	72.04	83.89	1.25	0.18	8.00	85.31	80.57	90.52	1.25	0.18	8.00	84.83	80.57	89.57	1.08	0.17	8.00	82.21	76.44	88.94	1.01	0.17	8.00	80.77	75.48	87.50	0.83	0.18	8.00	77.88	69.23	81.73	0.78	0.15	9.00	78.37	69.71	81.73	0.64	0.16	9.00	74.04	67.31	80.77	0.60	0.18	8.00	71.63	63.94	79.81
Czech Republic	CZE	0.68	0.21	6.00	74.73	63.98	81.18	0.57	0.16	8.00	73.20	64.43	79.38	0.21	0.17	9.00	62.44	57.36	71.07	0.38	0.15	9.00	69.19	61.11	74.75	0.51	0.15	10.00	72.22	63.13	76.26	0.44	0.14	11.00	69.76	60.49	74.15	0.49	0.14	10.00	68.29	62.93	73.66	0.36	0.13	12.00	67.80	60.00	72.20	0.30	0.13	13.00	65.53	58.25	71.84	0.36	0.13	13.00	66.99	61.65	73.30	0.39	0.13	12.00	69.38	62.68	72.25	0.33	0.13	13.00	66.67	60.95	71.90	0.34	0.13	14.00	67.77	61.61	71.56	0.27	0.12	14.00	64.93	60.19	70.14	0.23	0.13	13.00	63.51	59.24	68.72	0.37	0.13	13.00	66.35	59.62	70.67	0.43	0.13	13.00	67.31	62.98	73.08	0.54	0.13	12.00	69.23	65.38	76.44	0.57	0.12	12.00	70.67	65.87	77.88	0.50	0.13	12.00	69.23	63.46	76.92	0.51	0.14	11.00	68.75	62.50	75.96
Germany	DEU	1.91	0.21	6.00	94.09	90.86	100.00	2.05	0.19	6.00	94.85	92.27	100.00	1.86	0.20	6.00	93.40	90.86	96.45	1.94	0.18	6.00	93.43	91.41	96.97	1.93	0.19	6.00	93.43	91.41	97.98	1.86	0.17	7.00	93.66	91.71	97.07	1.89	0.17	7.00	94.15	92.20	97.56	1.80	0.16	9.00	93.17	91.71	96.10	1.74	0.17	9.00	92.23	91.26	95.15	1.76	0.16	9.00	93.20	91.75	95.63	1.76	0.17	8.00	93.30	90.91	95.22	1.78	0.17	9.00	93.33	90.00	95.71	1.74	0.16	11.00	93.36	89.57	95.26	1.83	0.15	11.00	94.31	91.00	95.73	1.81	0.15	10.00	94.31	91.00	96.21	1.84	0.14	9.00	94.71	91.83	95.67	1.84	0.14	9.00	93.27	91.83	96.15	1.84	0.15	10.00	93.75	92.31	96.63	1.84	0.13	10.00	94.23	92.31	97.12	1.95	0.14	10.00	95.19	92.31	99.52	1.90	0.16	9.00	95.19	91.83	98.56
Djibouti	DJI	-0.72	0.34	2.00	29.03	4.84	51.08	-0.78	0.28	4.00	27.32	6.70	44.85	-0.95	0.27	4.00	18.27	2.54	35.53	-0.74	0.28	4.00	28.28	6.06	46.97	-0.82	0.27	4.00	22.22	5.56	42.93	-0.58	0.24	5.00	33.17	15.12	51.22	-0.71	0.23	5.00	27.32	13.17	46.83	-0.66	0.24	5.00	30.24	14.63	46.83	-0.54	0.24	5.00	35.44	18.45	53.88	-0.33	0.24	6.00	44.66	27.18	59.71	-0.37	0.21	7.00	43.06	25.36	58.37	-0.40	0.21	7.00	41.90	24.76	56.19	-0.41	0.21	7.00	41.23	23.22	55.92	-0.46	0.22	7.00	38.86	22.27	56.40	-0.54	0.22	8.00	35.55	19.91	53.55	-0.60	0.22	8.00	32.69	15.38	50.48	-0.66	0.21	7.00	28.85	13.94	46.63	-0.65	0.21	7.00	30.77	13.46	45.67	-0.64	0.21	7.00	29.33	14.90	45.19	-0.72	0.18	8.00	26.44	14.42	39.90	-0.86	0.18	8.00	20.67	12.02	31.25
Dominica	DMA	0.87	0.48	1.00	80.11	59.14	91.40	0.53	0.38	2.00	71.65	52.58	84.02	0.30	0.34	2.00	64.47	47.21	79.19	0.52	0.34	2.00	72.73	56.06	83.33	0.53	0.32	2.00	73.23	58.59	82.32	0.61	0.29	3.00	73.17	58.54	83.90	0.66	0.28	3.00	73.17	60.49	82.93	0.62	0.31	3.00	73.17	59.51	83.90	0.62	0.31	3.00	73.79	59.71	84.47	0.68	0.32	2.00	74.27	61.65	84.47	0.73	0.34	2.00	73.21	62.68	85.65	0.71	0.34	2.00	73.33	62.38	85.24	0.71	0.33	2.00	72.99	62.56	85.31	0.66	0.33	2.00	73.46	62.09	83.89	0.67	0.34	2.00	73.46	61.14	83.41	0.62	0.34	2.00	71.63	58.17	82.69	0.62	0.24	3.00	71.63	62.98	80.77	0.62	0.24	3.00	70.67	63.94	81.25	0.65	0.24	3.00	73.56	63.94	81.73	0.55	0.23	3.00	70.19	60.58	80.77	0.53	0.24	3.00	69.71	60.58	80.29
Denmark	DNK	2.23	0.21	6.00	100.00	93.55	100.00	2.26	0.19	6.00	99.48	93.81	100.00	2.39	0.20	6.00	99.49	94.42	100.00	2.37	0.18	6.00	99.49	95.45	100.00	2.42	0.19	6.00	99.49	96.97	100.00	2.43	0.17	7.00	99.51	97.07	100.00	2.29	0.17	7.00	99.02	96.10	100.00	2.47	0.18	8.00	100.00	97.07	100.00	2.45	0.19	8.00	100.00	96.12	100.00	2.39	0.18	8.00	100.00	96.12	100.00	2.45	0.17	9.00	100.00	97.61	100.00	2.36	0.17	9.00	100.00	96.67	100.00	2.40	0.17	9.00	100.00	97.16	100.00	2.38	0.15	10.00	100.00	97.16	100.00	2.40	0.15	10.00	100.00	97.63	100.00	2.25	0.14	10.00	99.52	95.67	100.00	2.21	0.14	10.00	98.08	95.67	100.00	2.23	0.15	9.00	99.04	95.19	100.00	2.19	0.14	9.00	98.56	95.67	100.00	2.15	0.15	9.00	98.56	94.71	100.00	2.11	0.16	9.00	97.60	94.71	100.00
Dominican Republic	DOM	-0.42	0.26	4.00	41.40	23.66	57.53	-0.70	0.22	5.00	31.44	13.40	44.33	-0.72	0.23	5.00	28.43	12.18	43.65	-0.48	0.19	6.00	38.89	26.77	52.53	-0.70	0.18	7.00	27.78	12.63	41.41	-0.59	0.17	10.00	32.68	20.98	45.85	-0.69	0.17	11.00	28.78	17.07	42.44	-0.70	0.15	13.00	27.80	18.05	38.54	-0.75	0.16	13.00	25.24	16.99	36.89	-0.73	0.16	13.00	26.70	15.53	37.86	-0.78	0.16	13.00	23.92	15.31	36.84	-0.84	0.16	12.00	20.95	12.86	32.38	-0.81	0.15	13.00	21.80	15.17	34.12	-0.86	0.14	13.00	19.91	11.85	31.28	-0.87	0.14	13.00	21.33	11.85	31.28	-0.82	0.14	12.00	23.08	13.46	33.17	-0.82	0.14	13.00	21.15	13.46	31.73	-0.76	0.14	13.00	23.08	13.46	33.17	-0.74	0.13	13.00	24.52	15.38	36.06	-0.76	0.12	13.00	24.52	15.38	33.65	-0.76	0.13	14.00	25.00	16.83	32.69
Algeria	DZA	-0.57	0.26	4.00	33.33	16.67	52.69	-0.88	0.21	6.00	22.16	6.70	35.05	-0.94	0.22	6.00	18.78	4.57	32.49	-0.88	0.20	6.00	23.23	6.06	33.84	-0.69	0.18	8.00	28.79	13.13	41.92	-0.68	0.16	10.00	27.80	16.10	40.98	-0.48	0.17	10.00	40.00	23.90	51.71	-0.52	0.15	11.00	36.59	23.90	46.83	-0.56	0.16	12.00	34.47	20.39	47.57	-0.59	0.16	12.00	33.01	19.42	44.17	-0.58	0.16	12.00	33.49	20.10	46.89	-0.52	0.16	12.00	36.67	21.90	48.10	-0.54	0.15	13.00	35.07	22.27	48.82	-0.50	0.15	14.00	37.44	26.07	48.82	-0.47	0.15	14.00	39.34	26.07	50.24	-0.60	0.15	13.00	32.21	21.15	44.23	-0.65	0.15	12.00	29.81	18.75	42.31	-0.68	0.15	12.00	27.88	15.38	38.46	-0.60	0.14	12.00	30.29	19.23	42.79	-0.63	0.15	10.00	28.37	17.31	41.35	-0.62	0.17	10.00	29.33	18.75	41.35
Ecuador	ECU	-0.68	0.26	4.00	30.11	12.90	49.46	-0.85	0.22	5.00	23.71	8.25	36.08	-0.89	0.21	6.00	20.30	6.09	33.50	-0.89	0.19	7.00	22.73	6.06	33.33	-0.76	0.18	8.00	26.77	11.11	39.90	-0.70	0.16	12.00	26.83	15.12	39.02	-0.71	0.17	12.00	26.83	17.07	41.95	-0.75	0.17	13.00	24.39	16.10	38.54	-0.77	0.17	14.00	23.30	13.11	36.89	-0.69	0.17	13.00	28.64	16.99	40.29	-0.80	0.16	14.00	22.49	13.40	35.41	-0.77	0.16	14.00	22.86	15.71	36.67	-0.71	0.16	13.00	24.64	17.54	39.34	-0.58	0.14	14.00	34.12	22.75	45.50	-0.57	0.14	14.00	35.07	21.80	45.97	-0.75	0.14	12.00	25.00	14.90	36.06	-0.67	0.14	13.00	28.37	18.27	40.87	-0.68	0.14	14.00	27.40	15.87	37.02	-0.60	0.13	13.00	30.77	20.19	42.31	-0.57	0.13	13.00	32.21	24.04	42.31	-0.50	0.13	13.00	34.62	25.96	45.19
Egypt. Arab Rep.	EGY	-0.47	0.24	5.00	38.71	19.89	53.76	-0.46	0.19	7.00	38.66	28.35	51.55	-0.55	0.20	7.00	34.01	21.32	48.22	-0.41	0.18	7.00	42.42	29.80	53.54	-0.55	0.18	8.00	35.35	21.21	47.98	-0.65	0.16	10.00	29.27	17.56	42.44	-0.62	0.17	10.00	31.22	18.05	44.88	-0.75	0.15	12.00	25.37	17.07	37.56	-0.76	0.16	12.00	24.27	16.50	36.89	-0.78	0.16	12.00	23.79	15.05	35.44	-0.52	0.16	13.00	36.36	23.92	50.24	-0.63	0.16	13.00	30.95	19.52	42.38	-0.70	0.15	14.00	25.59	18.48	39.34	-0.60	0.13	16.00	33.18	22.27	43.13	-0.63	0.13	16.00	31.75	21.33	41.71	-0.62	0.13	15.00	30.77	21.15	42.79	-0.64	0.13	15.00	30.77	19.23	42.31	-0.64	0.14	14.00	31.25	17.79	39.90	-0.54	0.13	15.00	35.58	23.56	44.23	-0.57	0.13	14.00	31.73	24.04	42.31	-0.67	0.14	13.00	27.88	18.75	36.54
Eritrea	ERI	0.51	0.34	2.00	72.04	54.30	81.18	0.81	0.28	4.00	78.87	65.98	85.05	0.69	0.27	4.00	75.63	63.96	84.77	-0.03	0.28	4.00	56.57	36.87	71.21	-0.13	0.24	5.00	55.56	35.35	63.13	-0.22	0.21	7.00	51.22	33.66	58.05	-0.36	0.21	7.00	44.88	28.29	56.10	-0.35	0.19	8.00	42.44	30.24	56.10	-0.44	0.19	8.00	38.35	24.27	54.37	-0.39	0.19	8.00	40.78	28.16	54.85	-0.49	0.20	8.00	37.32	22.01	53.59	-0.56	0.19	8.00	33.81	20.00	50.00	-0.63	0.19	8.00	30.33	18.48	47.87	-0.78	0.20	8.00	24.64	11.85	38.86	-0.90	0.20	9.00	20.38	9.00	34.60	-0.89	0.21	7.00	18.75	8.65	34.13	-1.30	0.19	8.00	7.69	0.96	14.42	-1.31	0.18	9.00	8.17	1.92	13.46	-1.20	0.18	9.00	10.58	3.85	16.35	-1.32	0.17	9.00	9.13	1.44	14.42	-1.39	0.17	9.00	7.21	1.92	12.50
Spain	ESP	1.13	0.21	6.00	82.80	76.34	90.32	1.40	0.19	6.00	90.72	82.99	92.27	1.37	0.20	6.00	89.85	83.76	92.39	1.36	0.18	6.00	88.89	83.33	91.41	1.39	0.19	6.00	89.39	82.32	91.92	1.36	0.17	7.00	88.78	83.90	91.71	1.34	0.17	7.00	88.78	81.95	92.20	1.19	0.16	9.00	84.88	79.02	90.73	1.09	0.17	10.00	83.98	76.70	89.81	1.19	0.16	10.00	84.47	78.64	91.75	1.06	0.17	10.00	82.30	74.16	88.04	1.08	0.17	9.00	82.38	74.76	88.57	1.10	0.16	10.00	82.46	76.78	89.10	1.13	0.15	10.00	83.41	77.25	88.63	0.90	0.15	10.00	78.20	72.99	82.94	0.63	0.14	10.00	72.12	66.35	78.37	0.58	0.14	10.00	69.71	66.35	76.92	0.52	0.15	10.00	68.27	64.90	76.44	0.49	0.13	10.00	68.27	64.42	75.00	0.61	0.14	10.00	72.60	66.83	79.81	0.65	0.16	9.00	73.56	66.35	79.81
Estonia	EST	0.45	0.28	3.00	69.89	57.53	80.65	0.65	0.19	6.00	75.26	65.98	81.96	0.84	0.18	8.00	79.19	72.59	84.77	0.74	0.15	9.00	77.78	71.72	82.32	0.91	0.15	10.00	80.81	75.25	83.33	0.98	0.14	11.00	82.44	75.61	85.37	1.03	0.13	11.00	81.95	77.56	84.39	1.02	0.13	12.00	81.95	76.59	84.88	1.00	0.13	12.00	79.61	74.27	84.95	0.99	0.13	12.00	81.07	74.27	84.47	1.01	0.14	11.00	80.38	74.16	85.17	1.00	0.14	11.00	80.48	74.29	85.24	1.05	0.13	12.00	81.52	76.78	85.31	1.10	0.12	13.00	81.99	77.25	87.20	1.19	0.13	13.00	83.41	80.57	89.57	1.30	0.13	13.00	87.98	82.21	90.87	1.29	0.13	13.00	87.98	82.69	90.38	1.27	0.13	12.00	88.94	81.25	90.38	1.24	0.12	12.00	87.02	82.21	89.42	1.51	0.13	12.00	89.90	87.50	92.31	1.54	0.14	11.00	90.38	88.94	93.75
Ethiopia	ETH	-0.93	0.26	4.00	18.82	3.23	36.56	-0.57	0.21	6.00	34.02	19.59	48.97	-0.45	0.22	6.00	38.07	25.38	54.82	-0.58	0.20	6.00	33.33	21.21	47.47	-0.66	0.18	8.00	30.81	15.15	44.44	-0.73	0.16	10.00	26.34	14.15	37.56	-0.77	0.16	11.00	23.41	15.61	38.05	-0.65	0.15	14.00	30.73	19.51	39.51	-0.63	0.15	14.00	31.07	19.42	41.26	-0.66	0.15	13.00	29.13	17.96	39.81	-0.70	0.16	13.00	26.32	18.18	39.71	-0.69	0.16	14.00	28.10	17.62	40.48	-0.66	0.15	15.00	28.44	19.43	40.28	-0.60	0.14	14.00	32.23	21.33	43.13	-0.49	0.14	15.00	37.91	26.07	48.34	-0.44	0.13	14.00	39.42	29.81	51.44	-0.45	0.14	14.00	40.87	27.88	50.96	-0.42	0.14	13.00	39.90	31.73	50.48	-0.56	0.13	13.00	33.17	22.60	44.23	-0.49	0.13	13.00	37.50	26.44	45.19	-0.41	0.14	13.00	39.90	28.37	50.00
Finland	FIN	2.21	0.21	6.00	99.46	93.01	100.00	2.26	0.19	6.00	100.00	93.81	100.00	2.44	0.20	6.00	100.00	94.42	100.00	2.43	0.18	6.00	100.00	96.46	100.00	2.44	0.19	6.00	100.00	96.97	100.00	2.44	0.17	7.00	100.00	97.07	100.00	2.33	0.17	7.00	100.00	97.56	100.00	2.46	0.18	8.00	99.51	97.07	100.00	2.40	0.19	8.00	99.51	96.12	100.00	2.34	0.18	8.00	99.03	95.63	100.00	2.25	0.17	9.00	98.56	94.74	100.00	2.16	0.17	9.00	98.10	93.81	100.00	2.20	0.17	9.00	99.05	94.31	100.00	2.24	0.15	10.00	98.10	95.73	100.00	2.20	0.15	10.00	98.10	95.73	100.00	2.17	0.14	10.00	98.56	95.19	100.00	2.28	0.14	10.00	99.52	95.67	100.00	2.24	0.15	9.00	99.52	96.15	100.00	2.22	0.14	9.00	99.04	96.63	100.00	2.21	0.15	9.00	100.00	95.19	100.00	2.15	0.16	9.00	99.04	95.19	100.00
Fiji	FJI	0.66	0.34	2.00	73.66	59.68	84.41	0.50	0.30	3.00	70.10	55.15	81.96	0.31	0.29	3.00	64.97	53.30	77.16	0.30	0.30	3.00	65.15	49.49	77.78	0.06	0.28	3.00	59.09	41.41	72.73	0.16	0.27	3.00	59.51	48.78	72.20	-0.30	0.26	3.00	48.29	25.85	58.05	0.01	0.26	4.00	57.56	39.02	69.76	-0.05	0.26	4.00	56.31	36.89	69.90	-0.05	0.26	4.00	56.31	37.86	67.48	-0.34	0.27	4.00	44.02	23.44	60.77	-0.46	0.26	5.00	40.00	19.52	56.67	-0.13	0.26	5.00	54.50	34.60	65.40	-0.11	0.26	5.00	56.40	35.55	65.88	-0.12	0.27	5.00	54.50	35.07	65.40	0.18	0.28	4.00	61.06	49.52	72.12	0.17	0.27	4.00	62.02	48.56	69.71	0.13	0.26	4.00	61.54	46.15	69.23	0.36	0.28	3.00	65.38	53.85	78.85	0.38	0.28	3.00	67.31	54.33	79.81	0.56	0.28	3.00	70.19	59.62	81.25
France	FRA	1.25	0.21	6.00	84.95	80.65	91.40	1.39	0.19	6.00	90.21	82.47	92.27	1.37	0.20	6.00	89.34	83.76	92.39	1.23	0.18	6.00	84.85	81.31	90.91	1.35	0.19	6.00	86.36	81.82	91.41	1.33	0.17	7.00	88.29	83.41	91.71	1.37	0.17	7.00	89.76	82.93	92.20	1.46	0.16	9.00	91.71	84.88	92.20	1.46	0.17	10.00	91.75	84.95	92.23	1.41	0.16	10.00	91.26	83.01	91.75	1.44	0.17	10.00	90.43	84.21	92.82	1.47	0.17	9.00	89.52	84.29	92.86	1.53	0.16	10.00	90.52	85.31	93.36	1.46	0.15	10.00	90.05	83.89	92.89	1.33	0.15	10.00	88.15	81.52	91.00	1.31	0.14	9.00	88.94	82.21	90.87	1.31	0.14	9.00	88.94	82.21	90.87	1.40	0.15	10.00	90.38	83.17	92.79	1.26	0.13	10.00	87.50	81.73	89.42	1.32	0.14	10.00	87.98	82.21	90.87	1.30	0.16	9.00	88.94	82.69	91.35
Micronesia. Fed. Sts.	FSM	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	-0.20	0.57	1.00	50.00	12.37	76.80	-0.22	0.39	2.00	48.73	23.86	69.04	-0.32	0.44	2.00	45.45	12.63	69.70	-0.34	0.43	2.00	45.96	11.11	69.19	-0.04	0.29	3.00	55.12	35.61	69.76	-0.24	0.27	3.00	51.22	28.78	60.49	-0.25	0.31	3.00	48.29	23.90	63.41	-0.34	0.31	3.00	45.63	19.90	60.19	-0.31	0.31	3.00	46.12	20.39	62.14	-0.13	0.33	3.00	54.55	26.79	69.38	-0.15	0.33	3.00	54.29	28.10	69.05	-0.34	0.33	3.00	45.02	19.91	63.51	-0.15	0.33	3.00	54.03	28.44	67.77	-0.20	0.32	3.00	52.13	26.07	65.40	0.77	0.33	3.00	75.96	62.02	88.94	0.68	0.31	3.00	75.00	61.54	84.13	0.65	0.31	3.00	73.08	61.54	83.65	0.75	0.31	3.00	77.88	62.50	87.50	0.69	0.31	3.00	75.48	61.54	84.13	0.75	0.32	3.00	76.44	60.58	88.46
Gabon	GAB	-1.10	0.26	4.00	13.98	0.54	30.65	-0.96	0.21	6.00	18.56	3.09	31.96	-0.71	0.22	6.00	29.44	12.18	43.65	-0.59	0.20	6.00	32.83	20.20	47.47	-0.63	0.21	6.00	32.32	13.13	46.97	-0.85	0.19	7.00	21.95	10.73	34.63	-0.67	0.19	7.00	29.76	17.07	44.39	-0.97	0.17	9.00	18.05	6.83	28.78	-1.06	0.18	9.00	13.11	4.37	22.82	-1.08	0.17	9.00	13.59	3.88	21.84	-1.00	0.19	8.00	17.70	4.31	26.32	-0.87	0.18	8.00	20.48	10.95	32.38	-0.89	0.18	8.00	19.91	8.53	33.18	-0.70	0.16	10.00	28.44	17.06	40.76	-0.66	0.16	11.00	29.38	18.96	43.13	-0.69	0.16	10.00	28.37	15.38	40.87	-0.71	0.15	11.00	26.44	14.90	38.94	-0.75	0.16	11.00	23.56	13.46	35.58	-0.82	0.15	11.00	20.19	12.50	31.25	-0.86	0.14	13.00	18.75	12.50	28.37	-0.94	0.15	14.00	17.79	11.06	26.92
United Kingdom	GBR	1.98	0.21	6.00	95.16	91.40	100.00	2.11	0.19	6.00	96.39	92.27	100.00	2.14	0.20	6.00	95.94	92.39	100.00	2.06	0.18	6.00	94.95	91.92	98.99	2.04	0.19	6.00	95.45	91.92	98.48	1.93	0.17	7.00	94.63	91.71	98.05	1.90	0.17	7.00	94.63	92.20	98.05	1.79	0.16	9.00	92.68	91.71	96.10	1.74	0.17	9.00	92.72	91.75	96.12	1.68	0.16	9.00	92.23	91.26	94.66	1.63	0.17	9.00	91.87	88.04	94.26	1.60	0.17	9.00	92.38	88.10	93.81	1.62	0.16	10.00	92.42	88.15	94.31	1.67	0.15	10.00	92.89	89.57	94.79	1.70	0.15	10.00	93.36	89.57	95.73	1.74	0.14	10.00	93.27	90.87	95.19	1.88	0.14	10.00	93.75	92.31	97.12	1.90	0.15	10.00	94.23	92.79	97.60	1.84	0.13	10.00	94.71	92.31	97.12	1.83	0.14	10.00	93.27	90.87	96.63	1.77	0.16	9.00	93.75	89.90	96.63
Georgia	GEO	-1.53	0.34	2.00	1.08	0.00	17.74	-0.96	0.23	4.00	18.04	2.58	32.47	-1.01	0.22	5.00	15.23	3.55	31.47	-1.23	0.22	5.00	5.56	0.00	22.73	-0.70	0.20	6.00	28.28	11.62	42.93	-0.47	0.17	9.00	37.07	25.37	51.22	-0.22	0.16	9.00	51.71	40.00	57.56	0.04	0.15	12.00	58.54	50.24	64.88	-0.13	0.15	13.00	54.37	40.78	59.71	-0.11	0.14	13.00	54.37	43.20	60.68	-0.12	0.15	13.00	55.50	43.06	60.77	0.01	0.14	13.00	57.14	51.90	63.81	0.12	0.14	13.00	61.61	54.50	67.77	0.40	0.13	15.00	68.72	62.56	72.51	0.47	0.14	14.00	69.67	63.51	73.93	0.79	0.14	14.00	76.44	70.19	80.29	0.68	0.14	14.00	74.52	67.31	78.85	0.69	0.15	12.00	74.04	66.83	79.81	0.74	0.14	12.00	77.40	68.75	81.25	0.71	0.14	12.00	76.44	67.79	80.77	0.67	0.15	10.00	74.04	66.83	80.29
